discoveries	discoveries update
move	hitting {'x': 72, 'y': 5, 'known': 2041, 'first-known': 2020, 'glyph': 'j', 'color': 'blue', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'amorphous', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'blue', 'ac': 8, 'speed': 0, 'difficulty': 4, 'resistances': {'cold', 'poison'}, 'name': 'blue jelly', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'cold', 'poison'}, 'size': 'medium', 'weight': 50, 'glyph': 'j', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'cold', 'dices': 0, 'sides': 6}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 72, 'y': 5, 'known': 2041, 'first-known': 2020, 'glyph': 'j', 'color': 'blue', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'amorphous', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'blue', 'ac': 8, 'speed': 0, 'difficulty': 4, 'resistances': {'cold', 'poison'}, 'name': 'blue jelly', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'cold', 'poison'}, 'size': 'medium', 'weight': 50, 'glyph': 'j', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'cold', 'dices': 0, 'sides': 6}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 72, 'y': 5, 'known': 2042, 'first-known': 2020, 'glyph': 'j', 'color': 'blue', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'amorphous', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'blue', 'ac': 8, 'speed': 0, 'difficulty': 4, 'resistances': {'cold', 'poison'}, 'name': 'blue jelly', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'cold', 'poison'}, 'size': 'medium', 'weight': 50, 'glyph': 'j', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'cold', 'dices': 0, 'sides': 6}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 72, 'y': 5, 'known': 2042, 'first-known': 2020, 'glyph': 'j', 'color': 'blue', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'amorphous', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'blue', 'ac': 8, 'speed': 0, 'difficulty': 4, 'resistances': {'cold', 'poison'}, 'name': 'blue jelly', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'cold', 'poison'}, 'size': 'medium', 'weight': 50, 'glyph': 'j', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'cold', 'dices': 0, 'sides': 6}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	new or desired item at {'x': 72, 'y': 5, 'glyph': '%', 'color': 'blue', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'blue', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
look	examining tile {'x': 72, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [(2043, {'x': 72, 'y': 5, 'known': 2042, 'first-known': 2020, 'glyph': 'j', 'color': 'blue', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'amorphous', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'blue', 'ac': 8, 'speed': 0, 'difficulty': 4, 'resistances': {'cold', 'poison'}, 'name': 'blue jelly', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'cold', 'poison'}, 'size': 'medium', 'weight': 50, 'glyph': 'j', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'cold', 'dices': 0, 'sides': 6}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'blue', 'first-walked': 2044, 'walked': 2044, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
pickup	getting desirable items
inventory	requested inventory update
look	examining tile {'x': 72, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'a blue jelly corpse', 'qty': 1, 'name': 'blue jelly corpse', 'erosion': 0}], 'deaths': [(2043, {'x': 72, 'y': 5, 'known': 2042, 'first-known': 2020, 'glyph': 'j', 'color': 'blue', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'amorphous', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'blue', 'ac': 8, 'speed': 0, 'difficulty': 4, 'resistances': {'cold', 'poison'}, 'name': 'blue jelly', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'cold', 'poison'}, 'size': 'medium', 'weight': 50, 'glyph': 'j', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'cold', 'dices': 0, 'sides': 6}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': None, 'first-walked': 2044, 'walked': 2048, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 2044}
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
farlook	examining monster
move	hitting {'x': 66, 'y': 5, 'known': 2055, 'first-known': 2055, 'glyph': ':', 'color': 'brown', 'type': {'tags': {'hostile', 'nohands', 'carnivore', 'animal'}, 'color': 'brown', 'ac': 7, 'speed': 6, 'difficulty': 2, 'resistances': set(), 'name': 'iguana', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 30, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting enemy {'x': 66, 'y': 5, 'known': 2055, 'first-known': 2055, 'glyph': ':', 'color': 'brown', 'type': {'tags': {'hostile', 'nohands', 'carnivore', 'animal'}, 'color': 'brown', 'ac': 7, 'speed': 6, 'difficulty': 2, 'resistances': set(), 'name': 'iguana', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 30, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 66, 'y': 5, 'known': 2055, 'first-known': 2055, 'glyph': ':', 'color': 'brown', 'type': {'tags': {'hostile', 'nohands', 'carnivore', 'animal'}, 'color': 'brown', 'ac': 7, 'speed': 6, 'difficulty': 2, 'resistances': set(), 'name': 'iguana', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 30, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting enemy {'x': 66, 'y': 5, 'known': 2055, 'first-known': 2055, 'glyph': ':', 'color': 'brown', 'type': {'tags': {'hostile', 'nohands', 'carnivore', 'animal'}, 'color': 'brown', 'ac': 7, 'speed': 6, 'difficulty': 2, 'resistances': set(), 'name': 'iguana', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 30, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
autotravel	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
look	examining tile {'x': 50, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 2077, 'walked': 2077, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	new or desired item at {'x': 54, 'y': 3, 'glyph': '?', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '?', 'item-color': 'white', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
look	examining tile {'x': 54, 'y': 3, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '?', 'item-color': 'white', 'first-walked': 2082, 'walked': 2082, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
pickup	getting desirable items
inventory	requested inventory update
look	examining tile {'x': 54, 'y': 3, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'a scroll labeled TEMOV', 'qty': 1, 'name': 'scroll labeled TEMOV', 'erosion': 0}], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '?', 'item-color': None, 'first-walked': 2082, 'walked': 2083, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 2082}
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
autotravel	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	seek going directly | looking for the stairs-up | switching within branch to Dlvl:1 | seeking level main Dlvl:1 | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
attack	hitting {'x': 37, 'y': 12, 'known': 2170, 'first-known': 2170, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': False} | targetting leftover enemy {'x': 37, 'y': 12, 'known': 2170, 'first-known': 2170, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': False}
attack	hitting {'x': 37, 'y': 12, 'known': 2171, 'first-known': 2170, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 37, 'y': 12, 'known': 2171, 'first-known': 2170, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 37, 'y': 12, 'known': 2171, 'first-known': 2170, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 37, 'y': 12, 'known': 2171, 'first-known': 2170, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2179, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': False} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2179, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': False}
attack	hitting {'x': 36, 'y': 12, 'known': 2180, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2180, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2181, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2181, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2182, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2182, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2183, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2183, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2184, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2184, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2185, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2185, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2185, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2185, 'first-known': 2179, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2194, 'first-known': 2194, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': False} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2194, 'first-known': 2194, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': False}
attack	hitting {'x': 36, 'y': 12, 'known': 2195, 'first-known': 2194, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2195, 'first-known': 2194, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
attack	hitting {'x': 36, 'y': 12, 'known': 2195, 'first-known': 2194, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2195, 'first-known': 2194, 'glyph': 'I', 'color': None, 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'awake': True, 'fleeing': None}
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
repeated	waiting out impairment | impairment
farlook	examining monster
move	hitting {'x': 36, 'y': 12, 'known': 2256, 'first-known': 2256, 'glyph': 'F', 'color': 'magenta', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'nolimbs', 'notake', 'mindless'}, 'color': 'magenta', 'ac': 7, 'speed': 1, 'difficulty': 3, 'resistances': {'poison'}, 'name': 'shrieker', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'small', 'weight': 100, 'glyph': 'F', 'sounds': 'shriek', 'attacks': [], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 36, 'y': 12, 'known': 2256, 'first-known': 2256, 'glyph': 'F', 'color': 'magenta', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'neuter', 'nolimbs', 'notake', 'mindless'}, 'color': 'magenta', 'ac': 7, 'speed': 1, 'difficulty': 3, 'resistances': {'poison'}, 'name': 'shrieker', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'small', 'weight': 100, 'glyph': 'F', 'sounds': 'shriek', 'attacks': [], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
